iter	Passed	Remaining
0	1	103
1	2	99
2	2	91
3	3	89
4	4	87
5	5	82
6	5	78
7	6	75
8	7	72
9	7	70
10	8	68
11	9	67
12	9	65
13	10	64
14	11	64
15	11	62
16	12	61
17	13	61
18	14	61
19	15	60
20	15	59
21	16	58
22	17	57
23	17	56
24	18	55
25	19	54
26	19	53
27	20	52
28	21	51
29	21	50
30	22	49
31	22	48
32	23	47
33	24	46
34	24	46
35	25	45
36	26	44
37	26	43
38	27	42
39	27	41
40	28	41
41	29	41
42	30	40
43	30	39
44	31	38
45	32	37
46	32	37
47	33	36
48	34	35
49	34	34
50	35	33
51	36	33
52	36	32
53	37	31
54	38	31
55	38	30
56	39	29
57	39	28
58	40	28
59	41	27
60	41	26
61	42	26
62	43	25
63	44	24
64	45	24
65	45	23
66	46	22
67	47	22
68	48	21
69	48	20
70	49	20
71	49	19
72	50	18
73	51	18
74	52	17
75	52	16
76	53	15
77	54	15
78	54	14
79	55	13
80	55	13
81	56	12
82	57	11
83	57	11
84	58	10
85	59	9
86	60	8
87	60	8
88	61	7
89	62	6
90	62	6
91	63	5
92	64	4
93	64	4
94	65	3
95	66	2
96	66	2
97	67	1
98	68	0
99	68	0
